date,variant,symbol,name,weight,state,state_code,upside,fair_price,close,factor,side
2025-09-30,B,002891,中宠股份,0.2,缩量回踩确认,confirming,1.5,151.66890101596192,32.55,1.5,long
2025-09-30,B,600597,光明乳业,0.2,观察,watch,1.5,21.590851074738936,7.1,1.5,long
2025-09-30,B,600826,兰生股份,0.2,观察,watch,1.5,86.47719137784858,7.77,1.5,long
2025-09-30,B,600827,百联股份,0.2,观察,watch,1.5,40.66091719208909,8.05,1.5,long
2025-09-30,B,600272,开开实业,-0.2,观察,watch,-0.7859921183516951,2.715760018116989,10.3,-0.7859921183516951,short
2025-09-30,B,002187,广百股份,-0.2,观察,watch,-0.8,0.47508797315580115,5.21,-0.8,short
2025-09-30,B,002194,武汉凡谷,-0.2,观察,watch,-0.8,1.6600754751003362,8.67,-0.8,short
2025-09-30,B,002494,华斯股份,-0.2,观察,watch,-0.8,0.729721554758276,4.33,-0.8,short
2025-09-30,B,002515,金字火腿,-0.2,观察,watch,-0.8,1.282533266986158,6.36,-0.8,short
2025-10-10,B,002124,天邦食品,0.2,观察,watch,1.5,25.392737203213862,2.19,1.5,long
2025-10-10,B,002891,中宠股份,0.2,缩量回踩确认,confirming,1.5,151.66880654504195,32.55,1.5,long
2025-10-10,B,600826,兰生股份,0.2,观察,watch,1.5,81.89417262784731,7.77,1.5,long
2025-10-10,B,600827,百联股份,0.2,观察,watch,1.5,39.4159732548276,8.05,1.5,long
2025-10-10,B,603391,力聚热能,0.2,观察,watch,1.5,177.15457759859888,50.24,1.5,long
2025-10-10,B,600272,开开实业,-0.2,观察,watch,-0.7946489997650479,2.6325998230120864,10.3,-0.7946489997650479,short
2025-10-10,B,002187,广百股份,-0.2,观察,watch,-0.8,0.5022600529067044,5.21,-0.8,short
2025-10-10,B,002194,武汉凡谷,-0.2,观察,watch,-0.8,1.6092419966237288,8.67,-0.8,short
2025-10-10,B,002494,华斯股份,-0.2,观察,watch,-0.8,0.7073764939360812,4.33,-0.8,short
2025-10-10,B,002515,金字火腿,-0.2,观察,watch,-0.8,1.3688033467932712,6.36,-0.8,short
2025-10-17,B,002124,天邦食品,0.2,观察,watch,1.5,24.730094409937887,2.19,1.5,long
