date,variant,symbol,name,weight,state,state_code,upside,fair_price,close,side
2026-01-16,B,600600,青岛啤酒,0.1,观察,watch,1.4762451747579788,152.1652659888778,57.45,long
2026-01-16,B,603391,力聚热能,0.1,观察,watch,1.2755765920826163,148.86822065404476,50.24,long
2026-01-16,B,000957,中通客车,0.1,观察,watch,1.2112328078074381,25.0311553843802,10.59,long
2026-01-16,B,600415,小商品城,0.1,观察,watch,0.975913383363225,34.36113373668648,12.86,long
2026-01-16,B,000905.SH,中证500,-1.0,,,,,8232.674,short_index
2026-01-23,B,002124,天邦食品,0.1,观察,watch,1.5,8.125224821316577,2.19,long
2026-01-23,B,002696,百洋股份,0.1,观察,watch,1.5,26.018865807759127,5.08,long
2026-01-23,B,002891,中宠股份,0.1,缩量回踩确认,confirming,1.5,256.1250636589969,32.55,long
2026-01-23,B,600597,光明乳业,0.1,观察,watch,1.5,24.092152797749293,7.1,long
2026-01-23,B,600600,青岛啤酒,0.1,观察,watch,1.5,162.65123675726736,57.45,long
2026-01-23,B,600826,兰生股份,0.1,观察,watch,1.5,65.09032272204949,7.77,long
2026-01-23,B,603391,力聚热能,0.1,观察,watch,1.384249736958219,158.1949700471778,50.24,long
2026-01-23,B,600576,祥源文旅,0.1,观察,watch,1.3147424310585873,15.693953682577222,5.45,long
2026-01-23,B,000957,中通客车,0.1,观察,watch,1.25980687990344,26.75611345805673,10.59,long
2026-01-23,B,600415,小商品城,0.1,观察,watch,1.1504087291261005,36.72898109347379,12.86,long
2026-01-23,B,000905.SH,中证500,-1.0,,,,,8590.1659,short_index
2026-01-30,B,002124,天邦食品,0.1,观察,watch,1.5,7.971267060375544,2.19,long
2026-01-30,B,002696,百洋股份,0.1,观察,watch,1.5,24.955272688987154,5.08,long
2026-01-30,B,002891,中宠股份,0.1,缩量回踩确认,confirming,1.5,245.65532780202668,32.55,long
2026-01-30,B,600597,光明乳业,0.1,观察,watch,1.5,23.426236323437706,7.1,long
2026-01-30,B,600600,青岛啤酒,0.1,观察,watch,1.5,158.15616633341241,57.45,long
