date,track,equity,cash,holding,holding_name,shares,target,target_name,target_strength,action,reason,switched,rebalance,day_return
2026-06-25,1,58016.23,814.23,600131,国网信通,3700,600131,国网信通,100,switch,,True,True,-0.03728593901419097
2026-06-26,1,55218.24,485.24,002170,芭田股份,4900,002170,芭田股份,87,switch,,True,True,-0.048227711452467736
2026-06-29,1,54766.36,73.36,002345,潮宏基,5900,002345,潮宏基,100,switch,,True,True,-0.008183527761840947
2026-06-30,1,54117.61,2551.61,601168,西部矿业,1900,601168,西部矿业,43,switch,,True,True,-0.011845775399350944
2026-07-01,1,52920.61,2551.61,601168,西部矿业,1900,600661,昂立教育,100,hold_fail,涨停/跌停/停牌，继续持有,False,True,-0.022118493407229156
2026-07-02,1,54421.33,1973.33,002128,电投能源,2200,002128,电投能源,100,switch,,True,True,0.028357949766641077
2026-07-03,1,55923.4,167.4,002345,潮宏基,5300,002345,潮宏基,100,switch,,True,True,0.027600758746616494
2026-07-06,1,56338.59,259.59,600989,宝丰能源,2700,600989,宝丰能源,99,switch,,True,True,0.007424262473311627
2026-07-07,1,54308.82,2684.82,601168,西部矿业,1800,601168,西部矿业,84,switch,,True,True,-0.036028058210189395
2026-07-08,1,53352.64,1349.64,600993,马应龙,2300,600993,马应龙,90,switch,,True,True,-0.01760634828744212
2026-07-09,1,54467.33,1932.33,600961,株冶集团,1900,600961,株冶集团,100,switch,,True,True,0.02089287427951092
2026-07-10,1,52320.33,1932.33,600961,株冶集团,1900,000933,神火股份,100,hold_fail,涨停/跌停/停牌，继续持有,False,True,-0.03941812458954752
2026-07-13,1,50233.98,1345.98,600989,宝丰能源,2400,600989,宝丰能源,100,switch,,True,True,-0.03987646866906225
2026-07-14,1,53329.98,1345.98,600989,宝丰能源,2400,002128,电投能源,100,hold_fail,涨停/跌停/停牌，继续持有,False,True,0.06163158881697206
2026-07-15,1,53345.03,2325.03,000933,神火股份,2000,000933,神火股份,100,switch,,True,True,0.00028220524365463184
