排名,股票代码,股票名称,综合评分,当前价格,ROC_20,RSI_14,MACD_Hist,成交量比率,均线趋势,波动率,交易日
104,688088,688088,52.62765193689561,41.62,-7.920353982300899,49.76740761734022,0.7252502518151509,1.0087807476378297,3.4255681324006195,3.462660843389296,2026-04-14
105,301556,301556,52.56950363642538,84.27,-9.842730287792879,42.59946598668041,1.477350600173179,1.0735853206506605,0.4679443235670878,3.2157151978415497,2026-04-14
106,301004,301004,52.507165593391484,48.1,-5.408062930186819,40.03595726155568,0.7536640833587631,1.192627616555251,0.8005364851837835,3.355889752427826,2026-04-14
107,300059,300059,52.407441149318174,20.15,-4.997642621405007,49.9723601392142,0.2387316979015377,1.0214486323350191,2.437660456012838,2.9697042621364163,2026-04-14
108,600031,600031,52.1110109189082,20.86,0.04796163069542558,49.86504440548836,0.41925682792688035,0.9683270991542511,4.866277900663564,3.1334908778060533,2026-04-14
109,300413,300413,51.90721724768889,21.2,-5.102954341987465,42.93342309390528,0.2260567428182242,1.091982129747112,0.734123684398084,2.5786126340012174,2026-04-14
110,300127,300127,51.80944480855131,30.32,-7.981790591805771,44.071316027792264,0.7260005459757521,1.061057143164546,1.5150246923913973,3.6323067310104826,2026-04-14
111,002920,002920,51.73894649081099,106.2,-8.911570460588392,41.91698325866488,0.9814341742828985,1.186478738463194,-0.2962010223863468,2.8787506723668304,2026-04-14
112,002626,002626,51.60524220609701,18.37,-6.94022289766969,52.84929426396515,0.14747444546885996,0.7592572152905337,2.9333482755722526,3.4152908377588087,2026-04-14
113,601728,601728,51.52379644230248,5.79,-5.237315875613757,51.3252580145784,0.0020143638283452517,0.5645049902586117,-0.32707867102770255,1.5727660420693728,2026-04-14
114,601857,601857,51.126566103996225,11.93,-0.5004170141784892,50.3327090550842,-0.034011134683325076,0.5383654898163979,-1.6771747640828967,4.05269197170499,2026-04-14
115,003006,003006,50.97141041700818,16.85,-9.796573875802995,33.381137486223814,0.14558700619599974,1.913919653271411,-4.081516479763205,3.7004455054634335,2026-04-14
116,688091,688091,50.942911670405465,56.0,2.059413158374346,50.78096519030727,-0.5638072769032005,0.6916325771816494,-0.3319302679469309,4.8456477456406795,2026-04-14
117,600089,600089,50.8737297933854,27.48,-6.211604095563139,48.00343691413235,0.2884870039663139,1.0090451633582518,0.04186613757578745,3.7109255749384134,2026-04-14
118,300015,300015,50.77295434269917,9.62,-6.511175898930999,42.00358119499155,0.04062401901514048,1.1252629275033474,-0.8758371973209592,2.0530039533128983,2026-04-14
119,000683,000683,50.741910538563396,8.56,-4.570791527313267,48.99333431588447,0.12988331986477164,1.078621095119111,0.16381933068107515,4.4161017839551375,2026-04-14
120,301327,301327,50.64168445362051,66.38,7.289477937611122,53.27792120871422,-1.1097645546715609,0.7937976304676633,-1.2892768450637686,5.6843020028415765,2026-04-14
121,600497,600497,50.62816889643883,8.41,-10.341151385927516,51.118025321327764,0.24489874052305072,0.7726322697541829,3.8079368018268736,4.374518939028181,2026-04-14
122,002558,002558,50.6253176537537,31.75,-9.31162524992859,40.836568541858995,0.26851761894917314,1.4158253532100826,-3.3176509995584613,5.748221768663297,2026-04-14
123,600276,600276,50.33775006737267,56.18,1.0613419679798453,49.37066781870681,0.0908473902394841,0.9846769569475226,0.9433114724642091,3.0321782113486644,2026-04-14
124,601799,601799,50.24768524456321,123.1,-5.4966989098725545,40.14103616208277,2.312164868102464,0.6503820619848882,-0.6649236628900544,3.956576890192371,2026-04-14
125,002351,002351,50.110202710264495,11.41,-2.9761904761904767,48.5931180294115,0.12838935976856458,0.8210409702319141,2.153185012757932,2.122326492399428,2026-04-14
126,002180,002180,50.100241604440704,16.36,-13.484928609201486,34.01642566079898,0.21517933258105382,1.6305267427882764,-3.8269355123155795,3.6990753216852448,2026-04-14
127,002651,002651,50.061345392350965,9.69,-3.003003003003013,48.12203013668509,0.1399398693649156,0.9953252948840976,2.8607823363940423,2.7808536432514463,2026-04-14
128,300049,300049,49.96638133347588,55.53,2.302873986735454,40.598924942767894,0.3894306560840327,0.9896795605754153,-0.6441223832528549,4.523592561985995,2026-04-14
129,601888,601888,49.75154875029095,69.08,-8.101636291073566,34.16090417118819,0.23605497751058246,1.377944246412335,-2.378361573138534,2.796369454962395,2026-04-14
130,000858,000858,49.6905355742185,103.1,-1.3774631719915886,48.33730822834022,-0.09579356750475528,0.9866389778178164,0.17051333744638017,1.5371616814338067,2026-04-14
131,002318,002318,49.56706510235664,30.05,-8.132069703454603,39.67785568179298,0.36523393278148997,1.274262120636312,-1.901575124459326,4.02138236099542,2026-04-14
132,300316,300316,49.454974685915346,42.61,-8.542605709379703,42.37056591239099,0.5798270089038526,1.1481066983845207,-1.1414783536726936,5.42768647290238,2026-04-14
133,002698,002698,49.44586000998572,14.04,-6.212424849699405,46.294530603278226,0.225811180791879,0.9719603970511128,2.73671886433489,2.3366089416276026,2026-04-14
134,688739,688739,49.27016289468965,24.55,-3.117600631412787,44.85883225577816,0.07880965549378355,0.821852489262336,-0.15657726172805433,1.786919507452132,2026-04-14
135,601952,601952,49.223724311275475,9.99,-6.896551724137934,50.63165469715063,-0.05198070885855499,0.5270476450082682,-1.556957035869166,4.038979730630192,2026-04-14
136,601089,601089,48.96459565018986,22.97,-0.8631851532153734,43.746566988710754,0.08755877207597901,0.8528344230040275,-0.44425181493123744,3.5699438347965478,2026-04-14
137,600415,600415,48.94057933911514,12.27,-12.855113636363635,33.71809963218396,0.0030029575196456326,1.5759413227096664,-6.617451196773104,3.4546965724503074,2026-04-14
138,002003,002003,48.91966868057477,9.76,-3.3663366336633693,44.288018929618964,0.014911576876279281,0.8112603006348137,-0.3115264797507605,1.9668621063444816,2026-04-14
139,600862,600862,48.79177927753676,21.9,-7.5168918918918965,42.248810635487146,0.4906519031301335,0.9895921466567521,1.525195864818526,3.012810820925769,2026-04-14
140,000963,000963,48.749893108647804,35.0,-1.3250634338877854,45.42057688720262,-0.06452538411143932,0.8629419469599443,-1.1117860624125984,2.6132346391165258,2026-04-14
141,603501,603501,48.73856309488488,94.66,-14.179510426110609,36.40122048076247,0.9817157168255672,1.2527629125128557,-3.7391826067502776,3.137643466803438,2026-04-14
142,600600,600600,48.622161973173945,61.92,-2.992323358922133,45.93820927404101,-0.14175604205417913,0.8505799866302923,-1.1525813352064243,1.5288218686773067,2026-04-14
143,603027,603027,48.60299942509168,9.41,-2.989690721649474,46.283916502013696,0.05500455427418305,0.8302532442326483,0.05316321105795621,3.260077342217152,2026-04-14
144,600763,600763,48.40075669971907,41.58,-6.729475100942128,37.05833803282344,0.5763363639257064,1.1011110622941809,-0.9952854897852428,2.7196828783604676,2026-04-14
145,002557,002557,48.37828593036669,21.9,-2.92553191489362,49.67493700458908,0.20814959709520275,0.7717218751962979,1.5204895234563465,2.4610745213035172,2026-04-14
146,000400,000400,48.1626225176483,25.79,-14.176372712146424,34.81531706490696,0.19026520052237528,1.9588428128283506,-7.4847990242677325,4.316392871304249,2026-04-14
147,603300,603300,48.03090853734824,6.85,-4.463040446304046,48.866035060455594,0.03208142567475139,0.9720955224222818,0.2414575254262183,3.5697775042897706,2026-04-14
148,000681,000681,48.02825337066599,20.74,-7.575757575757591,41.83727826825258,0.35996146539796237,0.8801494034299844,0.7847996695579827,3.4264843269737875,2026-04-14
149,301262,301262,48.02471734122367,23.35,-7.157057654075539,43.91693762406227,0.2648793943794642,0.98118836781444,0.40419676642584307,3.018995877444565,2026-04-14
150,002020,002020,47.91447602203348,16.02,-2.0183486238532167,49.71968118103775,0.04066053937564346,0.7165075518389222,1.6690994478643835,3.3745055250219744,2026-04-14
151,600572,600572,47.90939662006924,4.36,-1.8018018018018056,46.931004644829336,0.006329330183336878,0.5899004042086473,-0.06876002750399325,2.073872978885806,2026-04-14
152,002270,002270,47.88670283003235,26.75,-13.149350649350655,39.948398722895,0.7100949214313781,1.3056371110456024,-3.0691741855999135,4.875482996850484,2026-04-14
153,601702,601702,47.68467924571135,20.14,-4.955167531854654,46.88741954151975,0.41422585819379987,0.6655396069124273,2.4727790780502543,4.169028730777394,2026-04-14
154,603392,603392,47.62840380107999,39.08,-3.743842364532024,45.69132855545498,-0.19404357563783745,0.9755330276809221,-1.5579933750645953,2.5522176452710004,2026-04-14
155,002410,002410,47.62110578077272,11.47,-8.092948717948712,43.08523229477682,0.1549624259218445,0.9737836507919639,0.5787443002455656,2.9559271365568724,2026-04-14
156,601766,601766,47.50789038635121,6.24,-2.6521060842433664,47.04623825297116,-0.0001590971129372086,0.6086224075927573,-0.32744988419449955,2.146731775153949,2026-04-14
157,002987,002987,47.50171244828007,16.75,-8.917890157694398,45.50498431768335,0.18665232916553565,0.8550392098235575,0.8762684814357456,3.0496516865621657,2026-04-14
158,600085,600085,47.47825074069108,28.04,-7.029177718832891,40.653295981874265,0.019943253664512328,0.8093434393168614,-1.5622257328418598,1.7340956023447713,2026-04-14
159,000596,000596,47.47155281401563,105.35,-7.7576394361264285,41.72387005877164,0.3808792593996211,0.9837418511209085,-1.0021942086048468,3.174182091437739,2026-04-14
160,000538,000538,47.37878065442964,55.05,-3.063919704173268,43.43592987656489,-0.08506306963279384,0.6913305191123472,-0.9865374065847177,1.3239315351670442,2026-04-14
