date,track,equity,cash,holding,holding_name,shares,target,target_name,target_strength,action,reason,switched,rebalance,day_return
2026-05-27,1,77473.59,1368.59,600989,宝丰能源,3100,600989,宝丰能源,64,switch,,True,True,-0.04801402095967844
2026-05-28,1,77234.97,1026.97,600131,国网信通,4400,600131,国网信通,80,switch,,True,True,-0.003080017332357965
2026-05-29,1,77454.97,1026.97,600131,国网信通,4400,600131,国网信通,92,hold,目标未变,False,True,0.0028484506435362267
2026-06-01,1,77942.68,2317.68,000933,神火股份,2500,000933,神火股份,100,switch,,True,True,0.006296690838560659
2026-06-02,1,79432.24,496.24,601168,西部矿业,2400,601168,西部矿业,100,switch,,True,True,0.019110967187682126
2026-06-03,1,78841.92,249.92,600989,宝丰能源,3200,600989,宝丰能源,69,switch,,True,True,-0.007431743080643427
2026-06-04,1,74344.71,1438.71,600961,株冶集团,2900,600961,株冶集团,28,switch,,True,True,-0.05704084832028433
2026-06-05,1,72178.63,785.63,600989,宝丰能源,3100,600989,宝丰能源,52,switch,,True,True,-0.02913563049744905
2026-06-08,1,72705.63,785.63,600989,宝丰能源,3100,600989,宝丰能源,100,hold,目标未变,False,True,0.007301330047411625
2026-06-09,1,70025.51,1140.51,601168,西部矿业,2300,601168,西部矿业,72,switch,,True,True,-0.03686261985488615
2026-06-10,1,69375.39,1125.39,000933,神火股份,2600,000933,神火股份,71,switch,,True,True,-0.009284045200099178
2026-06-11,1,70650.72,683.72,600989,宝丰能源,3100,600989,宝丰能源,98,switch,,True,True,0.018383031792686078
2026-06-12,1,71007.52,1409.52,600131,国网信通,4600,600131,国网信通,100,switch,,True,True,0.005050196232961213
2026-06-15,1,71942.34,2978.34,601168,西部矿业,2100,601168,西部矿业,100,switch,,True,True,0.013165084486826073
2026-06-16,1,67859.82,2675.82,600961,株冶集团,2400,600961,株冶集团,100,switch,,True,True,-0.056747111645242376
2026-06-17,1,66684.73,576.73,601168,西部矿业,2100,601168,西部矿业,72,switch,,True,True,-0.017316432610637755
2026-06-18,1,67178.5,892.5,600961,株冶集团,2300,600961,株冶集团,100,switch,,True,True,0.007404543738874114
2026-06-22,1,73722.32,858.32,600131,国网信通,4600,600131,国网信通,100,switch,,True,True,0.09740943903183319
2026-06-23,1,71988.5,2478.5,600961,株冶集团,2100,600961,株冶集团,100,switch,,True,True,-0.023518250646480054
2026-06-24,1,77469.5,2478.5,600961,株冶集团,2100,600961,株冶集团,100,hold,目标未变,False,True,0.076137160796516
2026-06-25,1,75896.97,142.97,600131,国网信通,4900,600131,国网信通,100,switch,,True,True,-0.02029869819735508
